Year_Birth,Education,Marital_Status,Income,Dt_Customer,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Response,Customer_Age,Age_Group,Total_Spending,Children
1986,Graduation,Single,51381.5,2013-02-20,19,5,1,3,3.0,81,126.5,0,27,0,0,1,0,0,0,0,0,0,0,29,<30,637,1
1989,Graduation,Married,38360.0,2013-05-31,26,36,2,42,20.0,21,10.0,2,2,1,4,3,0,0,0,0,0,0,0,26,<30,131,1
1965,PhD,Married,84618.0,2013-11-22,96,684,81,556,21.0,66,0.0,1,6,9,10,2,0,0,1,0,0,0,0,50,50–59,1672,0
1989,Master,Divorced,10979.0,2014-05-22,34,8,4,10,2.0,2,4.0,2,3,0,3,5,0,0,0,0,0,0,0,26,<30,30,0
1963,Master,Together,38620.0,2013-05-11,56,112,17,44,34.0,22,89.0,1,2,5,3,3,0,0,0,0,0,0,0,52,50–59,318,0
1970,Graduation,Together,40548.0,2012-10-10,31,110,0,5,2.0,0,3.0,2,2,1,4,5,0,1,0,0,0,0,0,45,40–49,120,1
1952,PhD,Divorced,46610.0,2012-10-29,8,96,12,96,33.0,22,43.0,6,4,1,6,6,0,0,0,0,0,0,1,63,60+,302,2
1946,Master,Married,68657.0,2013-02-20,4,482,34,471,119.0,68,22.0,1,3,5,9,7,0,0,0,0,0,0,0,69,60+,1196,0
1951,Master,Single,49389.0,2013-08-29,55,40,0,19,2.0,1,3.0,1,2,0,3,7,0,0,0,0,0,0,0,64,60+,65,2
1970,PhD,Married,67353.0,2013-12-31,37,702,17,151,0.0,8,35.0,5,5,6,12,2,0,0,0,0,0,0,0,45,40–49,913,1
1976,2n Cycle,Married,23718.0,2013-09-02,76,6,3,14,15.0,7,36.0,3,3,1,2,7,0,0,0,0,0,0,0,39,30–39,81,1
1973,Graduation,Widow,42429.0,2014-02-11,99,55,0,6,2.0,0,4.0,2,1,1,3,5,0,0,0,0,0,0,0,42,40–49,67,1
1943,PhD,Divorced,48948.0,2013-02-01,53,437,8,206,120.5,49,42.0,2,7,10,5,6,1,0,0,0,0,0,1,72,60+,902,0
1980,Graduation,Married,80011.0,2013-04-29,3,421,76,536,82.0,81,102.0,2,8,6,5,4,0,0,0,0,0,0,0,35,30–39,1395,1
1985,Master,Married,20559.0,2013-03-12,88,13,1,29,3.0,0,7.0,2,2,0,3,8,0,0,0,0,0,0,0,30,30–39,53,1
1957,Graduation,Together,21994.0,2012-12-24,4,9,0,6,3.0,1,3.0,1,0,0,3,5,0,0,0,0,0,0,0,58,50–59,22,1
1959,PhD,Single,51381.5,2013-11-05,80,81,11,50,3.0,2,39.0,1,1,3,4,2,0,0,0,0,0,0,0,56,50–59,186,0
1975,Master,Married,7500.0,2013-10-02,19,3,1,10,3.0,2,12.0,3,2,0,3,5,0,0,0,0,0,0,0,40,40–49,31,1
1976,Graduation,Single,79941.0,2014-06-28,72,123,81,266,120.5,30,126.5,1,2,4,9,1,0,0,0,0,0,0,0,39,30–39,984,0
1996,2n Cycle,Married,7500.0,2012-11-09,24,3,18,14,15.0,22,50.0,3,3,1,3,9,0,0,0,0,0,0,1,19,<30,122,0
1968,Graduation,Together,41728.0,2013-05-24,92,13,6,15,3.0,5,13.0,1,2,0,2,10,0,0,0,0,0,0,0,47,40–49,55,1
1951,Graduation,Single,51381.5,2014-01-01,96,48,5,48,6.0,10,7.0,3,2,1,4,6,0,0,0,0,0,0,0,64,60+,124,3
1954,PhD,Married,72550.0,2012-11-08,39,826,50,317,50.0,38,38.0,9,5,2,12,8,0,0,0,0,0,0,0,61,60+,1319,2
1957,Graduation,Widow,65486.0,2014-05-12,29,245,19,125,37.0,67,14.0,1,4,2,10,2,0,0,0,0,0,0,0,58,50–59,507,1
1964,Master,Married,79143.0,2012-08-11,2,650,37,556,27.0,81,32.0,1,6,9,13,3,0,0,0,0,0,0,0,51,50–59,1693,0
1977,Graduation,Single,35790.0,2013-01-02,54,12,6,20,30.0,1,3.0,2,2,0,3,7,0,0,0,0,0,0,0,38,30–39,72,1
1977,Graduation,Divorced,82582.0,2014-06-07,54,510,81,550,120.5,40,126.5,1,4,9,7,1,1,0,0,1,0,0,1,38,30–39,1617,0
1978,Graduation,Married,66373.0,2013-06-12,57,328,9,124,12.0,24,109.0,7,4,2,10,3,0,0,0,0,0,0,0,37,30–39,606,2
1955,Master,Together,82384.0,2012-11-19,55,984,51,432,120.5,81,126.5,1,3,10,13,1,0,0,1,0,0,0,1,60,60+,1957,0
1966,Graduation,Divorced,70287.0,2013-04-02,30,295,35,482,120.5,81,40.0,1,5,5,10,3,0,0,0,0,0,0,1,49,40–49,1093,0
1988,Graduation,Single,27938.0,2014-04-28,31,13,0,8,2.0,1,5.0,1,1,0,4,3,0,0,0,0,0,0,0,27,<30,29,1
1982,Graduation,Single,51381.5,2013-06-17,57,11,3,22,2.0,2,6.0,2,2,0,3,6,0,0,0,0,0,0,0,33,30–39,46,1
1968,PhD,Married,55954.0,2014-03-03,63,447,0,28,0.0,0,43.0,3,8,2,6,7,0,0,0,0,0,0,0,47,40–49,518,1
1982,Master,Single,75777.0,2013-07-04,12,712,26,538,69.0,13,80.0,1,3,6,11,1,0,1,1,0,0,0,1,33,30–39,1438,0
1975,Graduation,Together,66653.0,2012-09-07,18,452,18,102,16.0,18,6.0,4,4,2,12,3,0,0,0,0,0,0,0,40,40–49,612,2
1952,Graduation,Single,61823.0,2013-02-18,26,523,7,134,37.0,14,126.5,4,8,2,10,7,0,0,0,0,0,0,0,63,60+,884,1
1951,PhD,Widow,67680.0,2013-06-11,8,546,0,48,0.0,6,6.0,1,7,3,8,5,0,0,0,0,0,0,0,64,60+,606,1
1948,Graduation,Together,70666.0,2013-12-06,29,398,40,367,119.0,81,30.0,1,7,4,4,4,0,0,0,0,0,0,0,67,60+,1076,0
1971,Graduation,Married,25721.0,2013-05-21,75,1,3,6,3.0,6,15.0,1,1,1,2,7,0,0,0,0,0,0,1,44,40–49,34,1
1967,Graduation,Together,32474.0,2014-05-11,0,10,0,1,0.0,0,0.0,1,1,0,2,7,0,0,0,0,0,0,0,48,40–49,11,2
1979,2n Cycle,Single,88194.0,2014-03-19,19,688,14,309,120.5,24,38.0,1,11,10,10,5,1,0,0,1,0,0,1,36,30–39,1274,1
1958,Graduation,Together,69096.0,2013-09-27,4,247,49,159,7.0,81,109.0,1,5,2,10,4,0,0,0,0,0,0,0,57,50–59,653,1
1970,Graduation,Together,74854.0,2013-04-08,90,856,59,487,58.0,29,73.0,7,2,5,5,5,0,0,0,0,0,0,0,45,40–49,1562,3
1954,Master,Married,66991.0,2012-09-11,1,496,36,460,120.5,60,12.0,3,4,8,6,3,0,0,0,0,0,0,0,61,60+,1253,0
1973,2n Cycle,Married,51381.5,2012-09-14,25,25,3,43,17.0,4,17.0,3,3,0,3,8,0,0,0,0,0,0,0,42,40–49,109,1
1959,Graduation,Married,65031.0,2013-03-17,29,258,81,291,84.0,37,86.0,4,10,3,13,7,0,0,0,0,0,0,0,56,50–59,863,1
1975,PhD,Married,60631.0,2013-04-05,88,565,6,65,0.0,6,19.0,5,9,2,8,7,0,1,0,0,0,0,0,40,40–49,661,2
1952,Graduation,Married,28332.0,2014-04-30,58,14,10,13,4.0,15,9.0,1,2,1,4,2,0,0,0,0,0,0,0,63,60+,65,0
1977,Graduation,Divorced,40246.0,2012-12-19,68,2,1,6,2.0,1,1.0,1,1,0,2,6,0,0,0,0,0,0,0,38,30–39,13,1
1972,Master,Married,75251.0,2012-08-27,34,721,81,556,97.0,18,18.0,1,7,6,5,5,0,0,0,0,0,0,1,43,40–49,1890,0
1976,Graduation,Single,75825.0,2012-10-12,40,1032,81,556,120.5,81,51.0,0,5,8,9,4,1,0,0,0,0,0,1,39,30–39,2209,0
1976,2n Cycle,Together,26326.0,2013-09-04,12,1,0,5,0.0,3,9.0,1,0,0,3,3,0,0,0,0,0,1,0,39,30–39,18,0
1965,Graduation,Together,56046.0,2013-01-02,9,577,0,64,0.0,0,51.0,2,10,1,8,8,1,0,0,0,0,0,1,50,50–59,692,0
1985,Graduation,Single,29760.0,2012-08-29,87,64,4,68,7.0,5,17.0,4,3,1,4,8,0,0,0,0,0,0,0,30,30–39,165,1
1969,Graduation,Married,26304.0,2013-06-23,5,4,1,5,2.0,0,4.0,1,1,0,2,7,0,0,0,0,0,0,0,46,40–49,16,1
1973,2n Cycle,Married,23559.0,2013-07-03,87,25,5,19,7.0,0,23.0,3,3,0,3,7,0,0,0,0,0,0,0,42,40–49,79,1
1963,Master,Together,38620.0,2013-05-11,56,112,17,44,34.0,22,89.0,1,2,5,3,3,0,0,0,0,0,0,0,52,50–59,318,0
1987,Graduation,Divorced,81361.0,2014-02-25,18,163,23,424,27.0,65,76.0,1,3,10,13,1,0,0,0,0,0,0,0,28,<30,778,0
1960,Graduation,Married,29440.0,2013-08-11,95,17,8,14,10.0,4,3.0,2,1,0,4,7,0,0,0,0,0,0,0,55,50–59,56,2
1970,Master,Married,36138.0,2013-07-16,48,130,0,16,0.0,0,5.0,5,3,1,4,7,0,1,0,0,0,0,0,45,40–49,151,2
1957,Graduation,Single,50388.0,2014-05-28,3,292,6,37,0.0,3,34.0,4,6,1,6,7,0,1,0,1,0,0,1,58,50–59,372,1
1973,Graduation,Married,79593.0,2014-05-12,70,350,60,556,110.0,81,126.5,1,5,6,7,2,0,0,1,0,0,0,0,42,40–49,1366,0
1967,Graduation,Together,54178.0,2014-01-21,79,135,9,39,4.0,0,7.0,1,2,2,5,2,0,0,0,0,0,0,0,48,40–49,194,1
1957,PhD,Married,51381.5,2012-11-19,4,230,42,192,49.0,37,53.0,12,7,2,8,9,0,0,0,0,0,0,0,58,50–59,603,3
1957,Graduation,Single,51381.5,2014-05-27,45,7,0,8,2.0,0,1.0,1,1,0,2,7,0,0,0,0,0,0,0,58,50–59,18,2
1973,Master,Together,51381.5,2013-11-23,87,445,37,359,98.0,28,18.0,1,2,4,8,1,0,0,0,0,0,0,0,42,40–49,985,0
1972,Master,Single,42394.0,2014-03-23,69,15,2,10,0.0,1,4.0,1,1,0,3,7,0,0,0,0,0,0,0,43,40–49,32,1
1970,PhD,Married,23626.0,2014-05-24,84,27,2,14,0.0,0,0.0,3,3,1,3,5,0,0,0,0,0,0,0,45,40–49,43,1
1983,Graduation,Married,30096.0,2014-05-22,30,5,3,11,12.0,5,9.0,1,2,0,3,6,0,0,0,0,0,0,0,32,30–39,45,1
1960,Graduation,Widow,47916.0,2012-11-22,72,505,0,26,0.0,0,75.0,5,7,4,6,6,0,1,0,0,0,0,0,55,50–59,606,1
1972,Graduation,Divorced,51813.0,2013-04-11,37,51,2,7,0.0,1,2.0,2,2,0,3,7,0,0,0,0,0,0,0,43,40–49,63,2
1951,2n Cycle,Married,78497.0,2013-12-01,44,207,26,447,75.0,0,126.5,1,5,7,12,2,0,0,0,1,0,0,0,64,60+,978,0
1983,PhD,Married,50150.0,2013-06-20,32,135,46,92,65.0,61,11.0,2,5,2,7,5,0,0,0,0,0,0,0,32,30–39,410,0
1960,2n Cycle,Single,47823.0,2013-07-23,0,53,1,5,2.0,1,10.0,2,2,0,3,8,0,0,0,0,0,0,0,55,50–59,72,1
1959,PhD,Single,34554.0,2014-03-30,43,41,1,6,2.0,0,5.0,2,2,0,3,6,0,0,0,0,0,0,0,56,50–59,55,1
1979,Graduation,Together,85693.0,2013-04-20,59,386,81,183,120.5,81,111.0,2,9,5,11,5,0,0,0,0,0,0,0,36,30–39,1169,1
1945,PhD,Married,65846.0,2013-05-17,68,562,81,276,80.0,40,81.0,1,6,3,6,4,0,0,0,0,0,0,0,70,60+,1120,0
1959,Graduation,Married,87195.0,2014-05-08,35,217,76,556,50.0,26,38.0,1,3,11,5,1,0,0,0,0,0,0,1,56,50–59,1097,0
1979,Basic,Together,24594.0,2013-12-10,94,1,3,6,10.0,0,9.0,1,1,0,3,5,0,0,0,0,0,0,0,36,30–39,29,1
1964,Graduation,Married,49096.0,2013-09-24,15,144,1,32,2.0,1,7.0,4,4,1,4,7,0,0,0,0,0,0,0,51,50–59,187,2
1969,Graduation,Married,52413.0,2013-02-02,56,295,81,271,75.0,81,65.0,4,6,4,12,6,0,0,0,0,0,0,0,46,40–49,910,2
1978,Graduation,Single,38557.0,2012-12-19,17,76,3,31,4.0,4,27.0,2,3,1,3,7,0,0,0,0,0,0,0,37,30–39,145,1
1960,Master,Married,89058.0,2012-12-07,18,454,81,106,31.0,22,43.0,1,5,4,4,2,0,0,0,0,0,0,0,55,50–59,850,0
1979,Graduation,Together,77298.0,2013-11-02,46,425,81,292,23.0,35,79.0,1,6,6,11,3,0,0,0,0,0,0,0,36,30–39,969,1
1991,PhD,Single,68126.0,2012-11-10,40,1332,17,311,23.0,51,86.0,1,7,4,5,9,0,1,0,0,0,0,1,24,<30,1820,0
1963,Master,Together,57288.0,2014-06-25,27,527,0,21,0.0,0,60.0,3,8,1,8,6,0,1,0,0,0,0,0,52,50–59,608,1
1991,Graduation,Single,86037.0,2013-01-02,95,490,44,125,29.0,20,22.0,1,6,7,11,3,0,1,1,0,0,0,1,24,<30,730,0
1980,PhD,Married,43974.0,2012-12-12,19,378,0,101,0.0,0,72.0,5,6,4,6,7,0,0,0,0,0,0,0,35,30–39,551,1
1962,Graduation,Single,50785.0,2013-09-10,27,64,1,21,0.0,1,27.0,2,2,1,3,6,0,0,0,0,0,0,0,53,50–59,114,2
1970,Graduation,Married,90765.0,2014-01-24,25,547,81,556,120.5,81,33.0,0,4,6,5,1,0,0,1,1,0,0,0,45,40–49,1724,0
1978,2n Cycle,Married,36550.0,2013-02-19,74,47,81,94,120.5,81,120.0,5,9,1,5,9,0,0,0,0,0,0,0,37,30–39,577,1
1967,2n Cycle,Together,30753.0,2013-07-11,85,12,5,25,0.0,9,30.0,2,1,1,3,5,0,0,0,0,0,0,0,48,40–49,81,2
1969,Graduation,Together,21918.0,2013-11-14,37,1,6,7,11.0,5,3.0,2,2,0,3,6,0,0,0,0,0,0,0,46,40–49,33,1
1953,Master,Together,56129.0,2013-06-20,65,320,48,133,39.0,72,48.0,4,6,2,10,4,0,0,0,0,0,0,0,62,60+,660,1
1967,Master,Single,32557.0,2014-02-24,13,34,3,29,0.0,4,10.0,3,2,1,3,5,0,0,0,0,0,0,1,48,40–49,80,1
1985,Master,Married,19510.0,2013-09-04,63,9,0,7,3.0,4,7.0,2,1,0,3,7,0,0,0,0,0,0,0,30,30–39,30,2
1976,Graduation,Divorced,30992.0,2013-04-22,83,17,0,14,7.0,3,2.0,1,1,0,3,7,0,0,0,0,0,0,0,39,30–39,43,1
1983,Graduation,Single,101970.0,2013-03-12,69,722,27,102,44.0,72,126.5,0,6,8,13,2,0,1,1,1,0,0,1,32,30–39,1135,0
1965,2n Cycle,Together,71488.0,2013-02-18,87,162,33,124,40.0,28,126.5,2,3,4,7,1,0,0,0,0,0,0,0,50,50–59,559,0
1984,Graduation,Single,79607.0,2013-04-21,37,450,81,556,120.5,0,126.5,1,3,6,6,1,0,0,0,0,0,0,1,31,30–39,1923,0
1953,Master,Married,54348.0,2014-06-08,51,70,0,16,0.0,0,4.0,2,2,0,4,6,0,0,0,0,0,0,0,62,60+,90,2
1961,PhD,Married,51381.5,2013-07-11,23,352,0,27,10.0,0,15.0,3,6,1,7,6,0,0,0,0,0,0,0,54,50–59,404,1
1956,PhD,Together,77376.0,2014-05-10,72,492,19,110,16.0,12,12.0,4,6,3,10,4,0,0,0,0,0,0,0,59,50–59,661,2
1952,Graduation,Married,62998.0,2013-09-30,10,120,58,73,65.0,81,58.0,5,5,4,5,5,0,0,0,0,0,0,0,63,60+,463,1
1958,Master,Single,61331.0,2013-03-10,42,534,5,47,0.0,5,41.0,5,11,1,6,8,0,0,0,0,0,0,0,57,50–59,632,2
1969,Graduation,Married,73448.0,2014-02-10,10,236,81,189,23.0,41,126.5,1,7,2,9,4,0,0,0,0,0,0,0,46,40–49,725,0
1963,Graduation,Married,51381.5,2013-08-11,96,231,65,196,38.0,71,124.0,1,6,5,7,4,0,0,0,0,0,0,0,52,50–59,725,1
1964,PhD,Married,41551.0,2013-08-14,51,220,0,33,3.0,0,23.0,5,5,1,5,8,0,0,0,0,0,0,0,51,50–59,279,2
1967,PhD,Together,62981.0,2013-03-17,21,796,14,556,38.0,44,0.0,1,4,5,13,3,0,1,0,0,0,0,0,48,40–49,1482,0
1976,Basic,Divorced,9548.0,2012-08-08,31,0,1,3,10.0,6,9.0,2,1,0,3,8,0,0,0,0,0,0,0,39,30–39,29,1
1959,PhD,Married,33762.0,2013-07-07,61,53,1,34,2.0,0,16.0,3,2,2,2,8,0,0,0,0,0,0,0,56,50–59,106,3
1973,PhD,Single,35860.0,2014-05-19,37,15,0,8,4.0,2,20.0,2,1,1,2,5,1,0,0,0,0,0,1,42,40–49,49,2
1965,PhD,Divorced,36921.0,2013-07-28,74,17,1,12,3.0,1,4.0,2,2,0,3,7,0,0,0,0,0,0,0,50,50–59,38,2
1992,Master,Single,92859.0,2012-10-19,46,962,61,556,52.0,61,20.0,1,5,4,12,2,0,0,0,0,0,0,0,23,<30,2077,0
1976,Master,Together,65104.0,2013-11-14,4,738,0,232,13.0,20,50.0,2,3,5,7,7,0,0,0,0,0,0,1,39,30–39,1053,1
1962,Graduation,Married,86111.0,2013-04-19,73,399,28,556,36.0,40,126.0,1,5,7,10,2,0,0,0,0,0,0,0,53,50–59,1385,0
1974,PhD,Single,68352.0,2013-08-28,47,614,16,132,43.0,33,33.0,3,8,5,9,6,0,0,0,0,0,0,0,41,40–49,871,1
1988,Graduation,Together,41883.0,2013-03-19,13,32,34,41,73.0,16,116.0,3,4,2,3,7,0,0,0,0,0,0,0,27,<30,312,1
1976,Graduation,Married,59809.0,2012-10-18,36,598,16,141,32.0,41,49.0,3,3,3,6,8,0,0,0,0,0,0,0,39,30–39,877,2
1975,Graduation,Married,23957.0,2012-10-28,47,2,1,18,20.0,11,16.0,1,2,0,3,6,0,0,0,0,0,0,1,40,40–49,68,1
1981,Graduation,Together,38547.0,2013-08-28,49,6,1,10,0.0,1,4.0,1,1,0,2,8,0,0,0,0,0,1,0,34,30–39,22,1
1973,2n Cycle,Married,35688.0,2012-08-22,94,73,3,90,12.0,1,32.0,7,4,1,4,8,0,0,0,0,0,0,0,42,40–49,211,3
1966,Master,Married,49605.0,2014-06-21,65,42,16,29,12.0,20,8.0,1,2,1,4,3,0,0,0,0,0,0,0,49,40–49,127,0
1953,Master,Married,59354.0,2014-04-24,59,295,21,78,39.0,13,13.0,1,4,4,7,3,0,0,0,0,0,0,0,62,60+,459,2
1969,Graduation,Married,65747.0,2014-03-07,96,346,17,48,23.0,13,13.0,4,8,1,6,6,0,1,0,0,0,0,0,46,40–49,460,1
1972,2n Cycle,Together,46344.0,2012-12-14,28,233,20,57,8.0,20,91.0,4,7,1,5,7,0,0,0,0,0,0,0,43,40–49,429,1
1988,Graduation,Single,34176.0,2014-05-12,12,5,7,24,19.0,14,20.0,4,3,0,4,6,0,0,0,0,0,0,0,27,<30,89,1
1952,PhD,Together,61010.0,2012-10-09,57,888,0,57,0.0,0,76.0,2,8,5,11,5,0,0,0,0,0,0,0,63,60+,1021,1
1949,Graduation,Together,69372.0,2013-02-19,10,997,26,269,34.0,13,42.0,1,10,4,6,4,0,1,1,0,0,0,1,66,60+,1381,0
1958,Graduation,Single,49967.0,2013-07-08,4,212,6,69,4.0,12,3.0,3,6,1,5,7,0,0,0,0,0,0,0,57,50–59,306,1
1978,Graduation,Single,60199.0,2013-09-12,49,8,1,7,2.0,0,0.0,1,0,0,3,4,0,0,0,0,0,0,0,37,30–39,18,3
1977,Graduation,Together,55375.0,2013-10-17,3,42,11,57,10.0,28,14.0,1,1,1,6,2,0,0,0,0,0,0,0,38,30–39,162,1
1955,Graduation,Single,80317.0,2013-08-20,64,536,11,387,120.5,81,57.0,1,3,4,10,1,0,0,0,0,0,0,0,60,60+,1231,0
1958,Master,Single,30523.0,2013-07-01,0,5,0,3,0.0,0,5.0,1,1,0,2,7,0,0,0,0,0,0,0,57,50–59,13,3
1945,PhD,Married,70356.0,2012-11-05,20,1349,16,249,43.0,16,33.0,2,10,6,9,6,0,0,0,0,0,0,0,70,60+,1706,0
1984,Graduation,Married,23228.0,2014-01-05,91,53,3,49,7.0,4,5.0,4,3,0,4,8,0,0,0,0,0,0,0,31,30–39,121,1
1975,PhD,Divorced,74165.0,2013-05-01,9,1001,12,240,16.0,12,12.0,1,5,4,10,2,0,0,0,0,0,0,0,40,40–49,1293,0
1973,PhD,Married,157243.0,2014-03-01,98,20,2,556,1.0,2,1.0,15,0,22,0,0,0,0,0,0,0,0,0,42,40–49,1608,1
1966,Graduation,Together,43482.0,2013-11-13,83,18,1,32,6.0,3,28.0,3,2,0,4,6,0,0,0,0,0,0,0,49,40–49,88,3
1953,Graduation,Divorced,62551.0,2013-11-18,27,125,16,98,120.5,21,27.0,1,6,7,4,3,1,0,0,0,0,0,0,62,60+,421,0
1959,Graduation,Divorced,52332.0,2013-08-28,63,212,5,33,7.0,0,2.0,1,3,2,6,4,0,1,0,0,0,0,0,56,50–59,259,0
1988,Graduation,Single,66951.0,2013-11-02,46,277,81,305,120.5,76,124.0,1,3,4,7,1,0,0,0,0,0,0,0,27,<30,1117,0
1957,Graduation,Together,26091.0,2014-02-25,84,15,10,19,8.0,17,20.0,3,2,1,3,5,0,0,0,0,0,0,0,58,50–59,89,2
1965,Graduation,Together,33456.0,2014-04-21,58,7,3,10,8.0,1,7.0,2,1,0,3,7,0,0,0,0,0,0,0,50,50–59,36,2
1982,Graduation,Married,28718.0,2013-07-13,78,12,4,6,11.0,8,16.0,2,2,0,3,8,0,0,0,0,0,0,0,33,30–39,57,1
1970,Graduation,Married,50447.0,2014-04-21,4,85,7,24,2.0,3,27.0,1,3,1,3,6,0,0,0,0,0,0,0,45,40–49,148,2
1959,PhD,Together,53537.0,2014-01-30,17,81,0,6,0.0,0,6.0,2,2,1,3,5,0,0,0,0,0,0,0,56,50–59,93,2
1967,Graduation,Single,52074.0,2014-04-04,77,59,0,12,0.0,0,48.0,1,2,2,2,4,1,0,0,0,0,0,0,48,40–49,119,1
1975,PhD,Married,80427.0,2012-09-12,56,1149,71,449,69.0,71,26.0,1,11,8,8,5,0,0,0,0,0,0,0,40,40–49,1835,1
1948,PhD,Married,83837.0,2012-12-16,79,847,66,119,86.0,81,111.0,1,9,10,5,4,0,1,0,1,0,0,1,67,60+,1318,0
1970,PhD,Married,38853.0,2014-05-23,90,29,0,14,0.0,0,2.0,2,2,0,3,7,0,0,0,0,0,0,0,45,40–49,45,2
1959,Graduation,Together,38285.0,2014-06-24,96,2,0,5,2.0,0,1.0,1,0,0,3,2,0,0,0,0,0,0,0,56,50–59,10,3
1951,2n Cycle,Married,78497.0,2013-12-01,44,207,26,447,75.0,0,126.5,1,5,7,12,2,0,0,0,1,0,0,0,64,60+,978,0
1976,PhD,Married,51650.0,2014-05-11,81,152,3,22,2.0,5,7.0,1,4,1,4,5,0,0,0,0,0,0,0,39,30–39,191,1
