Age,Education,Marital_Status,Children,Income,Days_Since_Enroll,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,Total_Spent,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,Total_Purchases,Online_Ratio,NumWebVisitsMonth,AcceptedCmp1,AcceptedCmp2,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,Complain,Response
42,4,2,0,50150,2289,32,135,46,92,65,61,11,2,410,5,2,7,16,"0,3125",5,0,0,0,0,0,0,0
55,2,0,1,47823,2256,0,53,1,5,2,1,10,2,72,2,0,3,7,"0,285714286",8,0,0,0,0,0,0,0
56,4,0,1,34554,2006,43,41,1,6,2,0,5,2,55,2,0,3,7,"0,285714286",6,0,0,0,0,0,0,0
46,1,1,1,85693,2350,59,386,172,183,185,132,111,2,1169,9,5,11,27,"0,333333333",5,0,0,0,0,0,0,0
65,4,2,0,65846,2323,68,562,81,276,80,40,81,1,1120,6,3,6,16,"0,375",4,0,0,0,0,0,0,0
56,1,2,0,87195,1967,35,217,76,690,50,26,38,1,1097,3,11,5,20,"0,15",1,0,0,0,0,0,0,1
46,0,1,1,24594,2116,94,1,3,6,10,0,9,1,29,1,0,3,5,"0,2",5,0,0,0,0,0,0,0
51,1,2,2,49096,2193,15,144,1,32,2,1,7,4,187,4,1,4,13,"0,307692308",7,0,0,0,0,0,0,0
46,1,2,2,52413,2427,56,295,106,271,75,98,65,4,910,6,4,12,26,"0,230769231",6,0,0,0,0,0,0,0
47,1,0,1,38557,2472,17,76,3,31,4,4,27,2,145,3,1,3,9,"0,333333333",7,0,0,0,0,0,0,0
55,3,2,0,89058,2484,18,454,194,106,31,22,43,1,850,5,4,4,14,"0,357142857",2,0,0,0,0,0,0,0
46,1,1,1,77298,2154,46,425,115,292,23,35,79,1,969,6,6,11,24,"0,25",3,0,0,0,0,0,0,0
34,4,0,0,68126,2511,40,1332,17,311,23,51,86,1,1820,7,4,5,17,"0,411764706",9,0,0,0,1,0,0,1
52,3,1,1,57288,1919,27,527,0,21,0,0,60,3,608,8,1,8,20,"0,4",6,0,0,0,1,0,0,0
34,1,0,0,86037,2458,95,490,44,125,29,20,22,1,730,6,7,11,25,"0,24",3,0,0,0,1,1,0,1
45,4,2,1,43974,2479,19,378,0,101,0,0,72,5,551,6,4,6,21,"0,285714286",7,0,0,0,0,0,0,0
53,1,0,2,50785,2207,27,64,1,21,0,1,27,2,114,2,1,3,8,"0,25",6,0,0,0,0,0,0,0
45,1,2,0,90765,2071,25,547,99,812,151,82,33,0,1724,4,6,5,15,"0,266666667",1,1,0,0,0,1,0,0
47,2,2,1,36550,2410,74,47,90,94,123,103,120,5,577,9,1,5,20,"0,45",9,0,0,0,0,0,0,0
48,2,1,2,30753,2268,85,12,5,25,0,9,30,2,81,1,1,3,7,"0,142857143",5,0,0,0,0,0,0,0
46,1,1,1,21918,2142,37,1,6,7,11,5,3,2,33,2,0,3,7,"0,285714286",6,0,0,0,0,0,0,0
57,3,1,1,56129,2289,65,320,48,133,39,72,48,4,660,6,2,10,22,"0,272727273",4,0,0,0,0,0,0,0
48,3,0,1,32557,2040,13,34,3,29,0,4,10,3,80,2,1,3,9,"0,222222222",5,0,0,0,0,0,0,1
40,3,2,2,19510,2213,63,9,0,7,3,4,7,2,30,1,0,3,6,"0,166666667",7,0,0,0,0,0,0,0
49,1,3,1,30992,2348,83,17,0,14,7,3,2,1,43,1,0,3,5,"0,2",7,0,0,0,0,0,0,0
42,1,0,0,101970,2389,69,722,27,102,44,72,168,0,1135,6,8,13,27,"0,222222222",2,1,0,0,1,1,0,1
50,2,1,0,71488,2411,87,162,33,124,40,28,172,2,559,3,4,7,16,"0,1875",1,0,0,0,0,0,0,0
41,1,0,0,79607,2349,37,450,133,951,173,0,216,1,1923,3,6,6,16,"0,1875",1,0,0,0,0,0,0,1
57,3,2,2,54348,1936,51,70,0,16,0,0,4,2,90,2,0,4,8,"0,25",6,0,0,0,0,0,0,0
59,4,1,2,77376,1965,72,492,19,110,16,12,12,4,661,6,3,10,23,"0,260869565",4,0,0,0,0,0,0,0
58,1,2,1,62998,2187,10,120,58,73,65,89,58,5,463,5,4,5,19,"0,263157895",5,0,0,0,0,0,0,0
57,3,5,2,61331,2391,42,534,5,47,0,5,41,5,632,11,1,6,23,"0,47826087",8,0,0,0,0,0,0,0
46,1,2,0,73448,2054,10,236,106,189,23,41,130,1,725,7,2,9,19,"0,368421053",4,0,0,0,0,0,0,0
51,4,2,2,41551,2234,51,220,0,33,3,0,23,5,279,5,1,5,16,"0,3125",8,0,0,0,0,0,0,0
48,4,1,0,62981,2384,21,796,14,590,38,44,0,1,1482,4,5,13,23,"0,173913043",3,0,0,0,1,0,0,0
49,0,3,1,9548,2605,31,0,1,3,10,6,9,2,29,1,0,3,6,"0,166666667",8,0,0,0,0,0,0,0
56,4,2,3,33762,2272,61,53,1,34,2,0,16,3,106,2,2,2,9,"0,222222222",8,0,0,0,0,0,0,0
42,4,5,2,35860,1956,37,15,0,8,4,2,20,2,49,1,1,2,6,"0,166666667",5,0,0,1,0,0,0,1
50,4,3,2,36921,2251,74,17,1,12,3,1,4,2,38,2,0,3,7,"0,285714286",7,0,0,0,0,0,0,0
33,3,0,0,92859,2533,46,962,61,921,52,61,20,1,2077,5,4,12,22,"0,227272727",2,0,0,0,0,0,0,0
49,3,1,1,65104,2142,4,738,0,232,13,20,50,2,1053,3,5,7,17,"0,176470588",7,0,0,0,0,0,0,1
53,1,2,0,86111,2351,73,399,28,756,36,40,126,1,1385,5,7,10,23,"0,217391304",2,0,0,0,0,0,0,0
41,4,0,1,68352,2220,47,614,16,132,43,33,33,3,871,8,5,9,25,"0,32",6,0,0,0,0,0,0,0
37,1,1,1,41883,2382,13,32,34,41,73,16,116,3,312,4,2,3,12,"0,333333333",7,0,0,0,0,0,0,0
49,1,2,2,59809,2534,36,598,16,141,32,41,49,3,877,3,3,6,15,"0,2",8,0,0,0,0,0,0,0
40,1,2,1,23957,2524,47,2,1,18,20,11,16,1,68,2,0,3,6,"0,333333333",6,0,0,0,0,0,0,1
44,1,1,1,38547,2220,49,6,1,10,0,1,4,1,22,1,0,2,4,"0,25",8,0,0,0,0,0,1,0
42,2,2,3,35688,2591,94,73,3,90,12,1,32,7,211,4,1,4,16,"0,25",8,0,0,0,0,0,0,0
49,3,2,0,49605,1923,65,42,16,29,12,20,8,1,127,2,1,4,8,"0,25",3,0,0,0,0,0,0,0
57,3,2,2,59354,1981,59,295,21,78,39,13,13,1,459,4,4,7,16,"0,25",3,0,0,0,0,0,0,0
46,1,2,1,65747,2029,96,346,17,48,23,13,13,4,460,8,1,6,19,"0,421052632",6,0,0,0,1,0,0,0
43,2,1,1,46344,2477,28,233,20,57,8,20,91,4,429,7,1,5,17,"0,411764706",7,0,0,0,0,0,0,0
37,1,5,1,34176,1963,12,5,7,24,19,14,20,4,89,3,0,4,11,"0,272727273",6,0,0,0,0,0,0,0
58,4,1,1,61010,2543,57,888,0,57,0,0,76,2,1021,8,5,11,26,"0,307692308",5,0,0,0,0,0,0,0
61,1,1,0,69372,2410,10,997,26,269,34,13,42,1,1381,10,4,6,21,"0,476190476",4,0,0,0,1,1,0,1
57,1,0,1,49967,2271,4,212,6,69,4,12,3,3,306,6,1,5,15,"0,4",7,0,0,0,0,0,0,0
47,1,0,3,60199,2205,49,8,1,7,2,0,0,1,18,0,0,3,4,0,4,0,0,0,0,0,0,0
48,1,1,1,55375,2170,3,42,11,57,10,28,14,1,162,1,1,6,9,"0,111111111",2,0,0,0,0,0,0,0
55,1,0,0,80317,2228,64,536,11,387,149,91,57,1,1231,3,4,10,18,"0,166666667",1,0,0,0,0,0,0,0
57,3,0,3,30523,2278,0,5,0,3,0,0,5,1,13,1,0,2,4,"0,25",7,0,0,0,0,0,0,0
65,4,2,0,70356,2516,20,1349,16,249,43,16,33,2,1706,10,6,9,27,"0,37037037",6,0,0,0,0,0,0,0
41,1,2,1,23228,2090,91,53,3,49,7,4,5,4,121,3,0,4,11,"0,272727273",8,0,0,0,0,0,0,0
40,4,3,0,74165,2339,9,1001,12,240,16,12,12,1,1293,5,4,10,20,"0,25",2,0,0,0,0,0,0,0
42,4,2,1,157243,2035,98,20,2,1582,1,2,1,15,1608,0,22,0,37,0,0,0,0,0,0,0,0,0
49,1,1,3,43482,2143,83,18,1,32,6,3,28,3,88,2,0,4,9,"0,222222222",6,0,0,0,0,0,0,0
57,1,3,0,62551,2138,27,125,16,98,134,21,27,1,421,6,7,4,18,"0,333333333",3,0,0,1,0,0,0,0
56,1,3,0,52332,2220,63,212,5,33,7,0,2,1,259,3,2,6,12,"0,25",4,0,0,0,1,0,0,0
37,1,0,0,66951,2154,46,277,162,305,173,76,124,1,1117,3,4,7,15,"0,2",1,0,0,0,0,0,0,0
58,1,1,2,26091,2039,84,15,10,19,8,17,20,3,89,2,1,3,9,"0,222222222",5,0,0,0,0,0,0,0
50,1,1,2,33456,1984,58,7,3,10,8,1,7,2,36,1,0,3,6,"0,166666667",7,0,0,0,0,0,0,0
43,1,2,1,28718,2266,78,12,4,6,11,8,16,2,57,2,0,3,7,"0,285714286",8,0,0,0,0,0,0,0
45,1,2,2,50447,1984,4,85,7,24,2,3,27,1,148,3,1,3,8,"0,375",6,0,0,0,0,0,0,0
56,4,1,2,53537,2065,17,81,0,6,0,0,6,2,93,2,1,3,8,"0,25",5,0,0,0,0,0,0,0
48,1,0,1,52074,2001,77,59,0,12,0,0,48,1,119,2,2,2,7,"0,285714286",4,0,0,1,0,0,0,0
40,4,2,1,80427,2570,56,1149,71,449,69,71,26,1,1835,11,8,8,28,"0,392857143",5,0,0,0,0,0,0,0
62,4,2,0,83837,2475,79,847,66,119,86,89,111,1,1318,9,10,5,25,"0,36",4,1,0,0,1,0,0,1
45,4,2,2,38853,1952,90,29,0,14,0,0,2,2,45,2,0,3,7,"0,285714286",7,0,0,0,0,0,0,0
56,1,1,3,38285,1920,96,2,0,5,2,0,1,1,10,0,0,3,4,0,2,0,0,0,0,0,0,0
59,2,2,0,78497,2125,44,207,26,447,75,0,223,1,978,5,7,12,25,"0,2",2,1,0,0,0,0,0,0
49,4,2,1,51650,1964,81,152,3,22,2,5,7,1,191,4,1,4,10,"0,4",5,0,0,0,0,0,0,0
37,2,2,1,16248,1965,77,12,11,10,3,12,9,3,57,2,1,3,9,"0,222222222",6,0,0,0,0,0,0,0
64,3,2,0,66835,2189,21,620,26,195,34,17,141,1,1033,6,4,13,24,"0,25",2,0,0,0,0,0,0,0
41,3,2,1,30477,2073,16,47,1,6,0,0,12,1,66,1,1,3,6,"0,166666667",6,0,0,0,0,0,0,0
54,0,2,0,28249,1929,80,1,9,7,2,14,10,1,43,2,0,3,6,"0,333333333",6,0,0,0,0,0,0,0
42,1,2,1,25271,2486,45,10,1,18,10,4,7,1,50,1,1,2,5,"0,2",9,0,0,0,0,0,0,0
45,4,0,1,32303,2028,63,35,0,2,0,0,2,2,39,1,0,4,7,"0,142857143",5,0,0,0,0,0,0,0
49,1,2,1,61286,2246,34,356,0,107,19,9,117,2,608,7,1,8,18,"0,388888889",5,0,0,0,0,0,0,0
49,1,2,0,74068,2382,14,783,30,537,140,76,15,1,1581,4,10,9,24,"0,166666667",2,0,0,0,0,0,0,0
51,4,2,2,45759,2406,13,42,1,18,3,0,4,2,68,2,0,3,7,"0,285714286",7,0,0,0,0,0,0,0
47,0,1,1,24882,2573,52,1,4,10,29,0,36,1,80,1,1,2,5,"0,2",6,0,0,1,0,0,0,0
36,4,1,0,66973,2323,98,466,22,432,147,113,102,1,1282,8,7,12,28,"0,285714286",3,0,0,0,0,0,0,0
95,2,3,1,36640,2191,99,15,6,8,7,4,25,1,65,2,1,2,6,"0,333333333",5,0,0,0,0,0,1,0
37,1,2,1,38872,2310,93,23,3,21,3,19,22,2,91,3,0,3,8,"0,375",8,0,0,0,0,0,0,0
42,1,2,2,51148,2411,38,235,6,45,8,9,12,4,315,5,1,6,16,"0,3125",6,0,0,0,0,0,0,0
48,1,2,2,31353,2097,24,10,0,10,3,1,7,2,31,1,1,2,6,"0,166666667",8,0,0,0,0,0,0,0
45,3,2,0,69661,1962,80,656,16,106,32,16,8,1,834,7,3,12,23,"0,304347826",3,0,0,0,0,0,0,0
56,1,2,0,80067,2198,82,519,17,813,27,173,51,1,1600,4,6,6,17,"0,235294118",2,0,0,0,0,1,0,0
56,1,2,0,86718,2443,20,344,189,482,50,33,172,1,1270,5,6,5,17,"0,294117647",2,0,0,0,0,0,0,0
42,4,0,2,46854,2005,81,96,1,79,7,1,79,6,263,5,1,3,15,"0,333333333",8,0,0,1,0,0,0,1
58,1,3,1,69142,1915,50,448,4,34,6,4,39,3,535,8,1,7,19,"0,421052632",5,0,0,0,1,0,0,0
47,1,0,0,75922,2117,60,265,138,553,224,23,92,1,1295,4,4,9,18,"0,222222222",1,0,0,0,0,0,0,0
47,1,3,1,63693,2173,63,587,43,337,42,87,54,3,1150,11,6,9,29,"0,379310345",6,0,0,0,0,0,0,0
48,4,1,0,102160,2519,54,763,29,138,76,176,58,0,1240,7,9,10,26,"0,269230769",4,1,0,0,1,1,0,1
50,4,0,2,40637,2262,72,22,0,13,0,0,3,2,38,1,0,3,6,"0,166666667",7,0,0,0,0,0,0,0
41,3,0,0,18890,2511,5,6,4,1,7,2,15,1,35,0,1,2,4,0,6,0,0,1,0,0,0,1
37,1,1,1,29604,2118,88,7,6,13,7,6,14,1,53,1,0,3,5,"0,2",9,0,0,1,0,0,0,0
52,3,3,2,48721,2327,50,81,18,113,47,13,21,6,293,4,2,5,17,"0,235294118",6,0,0,0,0,0,0,0
49,1,2,1,44794,1936,99,54,0,7,0,0,4,1,65,2,0,3,6,"0,333333333",6,0,0,0,0,0,0,0
56,1,3,1,64497,2572,17,1170,48,320,42,32,192,5,1804,11,4,9,29,"0,379310345",8,0,0,1,0,0,0,1
59,1,1,1,46097,2370,11,72,24,68,65,4,8,5,241,3,1,6,15,"0,2",4,0,0,0,0,0,0,0
56,1,1,0,77972,2018,18,613,22,319,33,102,12,1,1101,4,6,9,20,"0,2",1,0,0,0,0,0,0,0
47,4,2,2,44377,2547,70,224,0,30,0,0,10,8,264,5,1,5,19,"0,263157895",8,0,0,0,0,0,0,0
41,3,1,2,46014,2439,21,410,0,59,19,9,44,10,541,7,1,8,26,"0,269230769",7,0,0,0,0,0,0,0
40,1,2,0,70951,2336,66,239,10,554,254,87,54,1,1198,3,4,9,17,"0,176470588",1,0,0,0,0,0,0,0
48,1,2,1,41443,2004,79,171,7,171,25,19,89,6,482,8,1,5,20,"0,4",8,0,0,0,0,0,0,0
47,2,0,3,52195,1963,2,12,0,4,0,0,1,1,17,1,0,2,4,"0,25",8,0,0,0,0,0,0,0
62,3,2,0,83790,2141,81,1076,16,417,42,48,16,1,1615,8,10,6,25,"0,32",3,0,0,0,1,1,0,0
56,3,4,1,44551,2217,24,182,4,33,0,0,66,2,285,4,1,5,12,"0,333333333",7,0,0,0,0,0,0,0
45,1,1,1,69508,2507,48,824,32,162,42,32,43,2,1135,11,4,11,28,"0,392857143",6,0,0,0,0,0,0,0
37,2,1,1,45204,1994,93,30,11,25,29,1,18,1,114,1,1,4,7,"0,142857143",3,0,0,0,0,0,0,0
46,1,2,0,72460,2142,56,377,10,540,80,30,10,1,1047,3,5,7,16,"0,1875",1,0,0,0,0,0,0,0
45,4,1,2,77622,1991,3,520,7,154,19,0,14,2,714,6,3,11,22,"0,272727273",3,0,0,0,0,0,0,0
45,4,2,1,30732,2455,44,155,1,25,0,1,3,4,185,4,1,4,13,"0,307692308",8,0,0,0,0,0,0,0
53,1,3,1,63887,2574,38,897,23,207,15,11,92,5,1245,9,6,12,32,"0,28125",6,0,0,0,0,0,0,0
47,1,1,1,42011,2375,46,131,0,16,2,1,39,4,189,3,1,4,12,"0,25",8,0,0,0,0,0,0,0
49,1,1,1,51369,2527,84,297,7,79,0,11,182,2,576,8,2,4,16,"0,5",8,0,0,0,0,0,0,0
58,1,3,1,51537,2482,27,787,20,204,0,0,92,3,1103,2,2,11,18,"0,111111111",8,0,0,0,0,0,0,0
